"","x"
"736","192877"
"737","192886"
"738","192904"
"739","192906"
"740","192921"
"741","192922"
"742","192940"
"743","192941"
"744","192956"
"745","192986"
"746","192987"
"747","193050"
"748","193051"
"749","193083"
"750","193182"
"751","193184"
"752","193209"
"753","193244"
"754","193252"
"755","193253"
"756","193274"
"757","193288"
"758","193298"
"759","193433"
"760","193467"
"761","193501"
"762","193562"
"763","193583"
"764","193584"
"765","193595"
"766","193634"
"767","193689"
"768","193722"
"769","193781"
"770","193787"
"771","193798"
"772","193853"
"773","193860"
"774","193861"
"775","193875"
"776","193882"
"777","193883"
"778","193898"
"779","193963"
"780","193973"
"781","193980"
"782","193998"
"783","194005"
"784","194024"
"785","194025"
"786","194029"
"787","194030"
"788","194054"
"789","194055"
"790","194329"
"791","194334"
"792","194336"
"793","194337"
"794","194524"
"795","194557"
"796","194577"
"797","194578"
"798","194579"
"799","194597"
"800","194603"
"801","194693"
"802","194700"
"803","194719"
"804","194731"
"805","194738"
"806","194746"
"807","194778"
"808","194924"
"809","195009"
"810","195024"
"811","195053"
"812","195083"
"813","195144"
"814","195150"
"815","195159"
"816","195165"
"817","195171"
"818","195191"
"819","195192"
"820","195193"
"821","195204"
"822","195205"
"823","195225"
"824","195230"
"825","195283"
"826","195331"
"827","195334"
"828","195337"
"829","195353"
"830","195577"
"831","195604"
"832","195608"
"833","195699"
"834","195716"
"835","195745"
"836","195757"
"837","195788"
"838","195976"
"839","196005"
"840","196045"
"841","196182"
"842","196187"
"843","196197"
"844","196203"
"845","196281"
"846","196283"
"847","196338"
"848","196356"
"849","196357"
"850","196360"
"851","196385"
"852","196398"
"853","196400"
"854","196460"
"855","196461"
"856","196467"
"857","196487"
"858","196512"
"859","196514"
"860","196520"
"861","196522"
"862","196526"
"863","196554"
"864","196804"
"865","196848"
"866","196849"
"867","196857"
"868","196858"
"869","196859"
"870","197021"
"871","197030"
"872","197054"
"873","197055"
"874","197056"
"875","197094"
"876","197187"
"877","197188"
"878","197350"
"879","197414"
"880","197454"
"881","197468"
"882","197496"
"883","197567"
"884","197633"
"885","197636"
"886","197641"
"887","197662"
"888","197663"
"889","197664"
"890","197677"
"891","197678"
"892","197679"
"893","197691"
