"","x"
"1012","190755"
"1013","190761"
"1014","190771"
"1015","190777"
"1016","190779"
"1017","190784"
"1018","190788"
"1019","190790"
"1020","190853"
"1021","190856"
"1022","190920"
"1023","190923"
"1024","190934"
"1025","190961"
"1026","190977"
"1027","190978"
"1028","190999"
"1029","191036"
"1030","191059"
"1031","191060"
"1032","191122"
"1033","191125"
"1034","191148"
"1035","191173"
"1036","191174"
"1037","191187"
"1038","191221"
"1039","191262"
"1040","191288"
"1041","191290"
"1042","191292"
"1043","191313"
"1044","191328"
"1045","191329"
"1046","191377"
"1047","191429"
"1048","191445"
"1049","191454"
"1050","191526"
"1051","191558"
"1052","191598"
"1053","191612"
"1054","191647"
"1055","191656"
"1056","191664"
"1057","191669"
"1058","191691"
"1059","191694"
"1060","191699"
"1061","191700"
"1062","191706"
"1063","191708"
"1064","191714"
"1065","191718"
"1066","191722"
"1067","191724"
"1068","191752"
"1069","191758"
"1070","191764"
"1071","191765"
"1072","191771"
"1073","191772"
"1074","191774"
"1075","191794"
"1076","191836"
"1077","191857"
"1078","191860"
"1079","191861"
"1080","191862"
"1081","191867"
"1082","191868"
"1083","191870"
"1084","191871"
"1085","191872"
"1086","191877"
"1087","191949"
"1088","191951"
"1089","191952"
"1090","191953"
"1091","191955"
"1092","191956"
"1093","191957"
"1094","191958"
"1095","192007"
"1096","192009"
"1097","192010"
"1098","192024"
"1099","192025"
"1100","192026"
"1101","192035"
"1102","192037"
"1103","192053"
"1104","192070"
"1105","192097"
"1106","192099"
"1107","192114"
"1108","192124"
"1109","192126"
"1110","192184"
"1111","192194"
"1112","192220"
"1113","192223"
"1114","192234"
"1115","192262"
"1116","192320"
"1117","192387"
"1118","192401"
"1119","192421"
"1120","192428"
"1121","192434"
"1122","192441"
"1123","192455"
"1124","192481"
"1125","192490"
"1126","192494"
"1127","192600"
"1128","192613"
"1129","192651"
"1130","192653"
"1131","192663"
"1132","192665"
"1133","192703"
"1134","192719"
"1135","192720"
"1136","192726"
"1137","192737"
"1138","192748"
"1139","192753"
"1140","192760"
"1141","192785"
"1142","192793"
"1143","192800"
"1144","192801"
"1145","192807"
"1146","192808"
"1147","192810"
"1148","192811"
"1149","192818"
"1150","192827"
"1151","192829"
"1152","192834"
"1153","192842"
"1154","192843"
"1155","192849"
"1156","192851"
"1157","192852"
"1158","192853"
"1159","192854"
"1160","192861"
"1161","192865"
"1162","192866"
"1163","192872"
"1164","192873"
"1165","192877"
"1166","192878"
"1167","192880"
"1168","192886"
"1169","192891"
"1170","192904"
"1171","192905"
"1172","192906"
"1173","192921"
"1174","192922"
"1175","192940"
"1176","192941"
"1177","192954"
"1178","192956"
"1179","192972"
"1180","192973"
"1181","192986"
"1182","192987"
"1183","192990"
"1184","193050"
"1185","193051"
"1186","193053"
"1187","193083"
"1188","193154"
"1189","193182"
"1190","193184"
"1191","193209"
"1192","193244"
"1193","193245"
"1194","193252"
"1195","193253"
"1196","193274"
"1197","193288"
"1198","193298"
"1199","193414"
"1200","193421"
"1201","193433"
"1202","193457"
"1203","193467"
"1204","193501"
"1205","193503"
"1206","193562"
"1207","193583"
"1208","193584"
"1209","193595"
"1210","193597"
"1211","193634"
"1212","193689"
"1213","193703"
"1214","193707"
"1215","193722"
"1216","193723"
"1217","193725"
"1218","193734"
"1219","193752"
"1220","193753"
"1221","193781"
"1222","193787"
"1223","193798"
"1224","193853"
"1225","193860"
"1226","193861"
"1227","193875"
"1228","193882"
"1229","193883"
"1230","193898"
"1231","193899"
"1232","193902"
"1233","193903"
"1234","193904"
"1235","193919"
"1236","193920"
"1237","193936"
"1238","193937"
"1239","193938"
"1240","193962"
"1241","193963"
"1242","193973"
"1243","193980"
"1244","193997"
"1245","193998"
"1246","194005"
"1247","194017"
"1248","194018"
"1249","194024"
"1250","194025"
"1251","194029"
"1252","194030"
"1253","194054"
"1254","194055"
"1255","194148"
"1256","194329"
"1257","194334"
"1258","194336"
"1259","194337"
"1260","194524"
"1261","194557"
"1262","194577"
"1263","194578"
"1264","194579"
"1265","194597"
"1266","194603"
"1267","194693"
"1268","194700"
"1269","194719"
"1270","194724"
"1271","194731"
"1272","194738"
"1273","194746"
"1274","194778"
"1275","194836"
"1276","194874"
"1277","194924"
"1278","194965"
"1279","194966"
"1280","195009"
"1281","195010"
"1282","195011"
"1283","195024"
"1284","195032"
"1285","195033"
